7941,8630
2605,5155
3730,6708
1459,6193,6199
5168,5176
1096,3136
3329,5194
1742,3891,4778
1673,7888
2561,5279
5294,5706,6676
4276,4741
4736,5514,7349
6849,7835
551,8398
720,2085
7722,8410
5347,8329
190,6884
744,2309
1749,6378
4332,6667
5357,5361
7388,8437
8120,8453
158,3346
6419,8344
3671,4837,5916
2437,5931
6340,6944
575,6440
3370,5892
5939,6931
3191,3382
823,2199
6835,6972
4413,6822
1142,1854
2297,8003
192,8522
2385,6157
3926,5633
2812,7000
854,4968
2284,4460
2049,5928
7270,8561
5500,7400
383,1360,7698
2594,3968,8487
2436,3701
5353,7557
7047,7828
7028,7578,7917
3909,7583
8098,8302
1960,7863
428,4531
1455,8406
3880,6353,8114
436,8485
1211,8118
2997,8632
6394,8122
7327,7533
1468,4956
330,463,1181
4030,4845
4290,5020,5572
3889,4037,8011
4038,4502,7852
3459,6089
4042,6061
5067,5714
2689,7628
2225,6461
3029,6657
5708,7914,8151
4176,6618
7632,7649
468,8162
4071,7212,7368
2639,6120
4065,6123,8440
3056,6755
6131,7756
3573,4817
2552,5809
2370,7165
3111,6143,7312
