366,497,771,-1,-1,-1,-1,-1
480,720,857,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
16,284,549,-1,-1,-1,-1,-1
316,495,552,-1,-1,-1,-1,-1
339,478,568,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
412,643,707,725,863,-1,-1,-1
38,230,245,498,577,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
43,113,261,280,361,580,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
184,314,371,443,493,588,-1,-1
153,429,590,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
115,374,486,543,602,-1,-1,-1
169,383,417,491,534,556,606,727
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
77,117,134,164,232,248,630,-1
60,265,439,540,632,793,806,-1
22,32,122,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
136,518,654,-1,-1,-1,-1,-1
124,186,209,287,464,656,-1,-1
330,481,484,575,662,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
223,271,670,-1,-1,-1,-1,-1
163,190,221,295,514,671,718,-1
-1,-1,-1,-1,-1,-1,-1,-1
157,282,533,558,667,679,-1,-1
15,344,398,608,684,-1,-1,-1
50,539,688,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
100,247,348,430,485,698,-1,-1
51,82,133,255,634,690,699,-1
199,622,703,-1,-1,-1,-1,-1
89,104,238,457,658,704,-1,-1
52,107,391,403,454,708,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
47,528,719,826,844,908,-1,-1
276,341,467,494,666,723,-1,-1
11,42,80,213,444,507,816,-1
373,492,541,619,711,717,726,-1
-1,-1,-1,-1,-1,-1,-1,-1
67,78,731,-1,-1,-1,-1,-1
